epoca,loss,accuracy,recall,precision,lr 
226,0.24216000735759735,0.88005,0.90203,0.86016,0.0000250000
227,0.24296000599861145,0.88028,0.90218,0.8604,0.0000250000
228,0.24126000702381134,0.88049,0.90234,0.86063,0.0000125000
229,0.24067999422550201,0.88071,0.90252,0.86083,0.0000125000
230,0.240229994058609,0.88092,0.90269,0.86104,0.0000125000
231,0.24130000174045563,0.88113,0.90284,0.86125,0.0000125000
232,0.24044999480247498,0.88135,0.90302,0.86147,0.0000125000
233,0.24106000363826752,0.88156,0.90317,0.8617,0.0000125000
234,0.24004000425338745,0.88177,0.90333,0.86191,0.0000125000
235,0.24192999303340912,0.88198,0.90347,0.86211,0.0000125000
236,0.24044999480247498,0.88218,0.90362,0.86232,0.0000125000
237,0.23973999917507172,0.88238,0.90378,0.86252,0.0000125000
238,0.24142000079154968,0.88258,0.90392,0.86272,0.0000125000
239,0.24063000082969666,0.88278,0.90405,0.86293,0.0000125000
240,0.24010999500751495,0.88299,0.9042,0.86313,0.0000125000
241,0.24126000702381134,0.88318,0.90434,0.86333,0.0000125000
242,0.241349995136261,0.88338,0.90448,0.86353,0.0000125000
243,0.24174000322818756,0.88358,0.90462,0.86373,0.0000125000
244,0.2399500012397766,0.88377,0.90476,0.86393,0.0000125000
245,0.24106000363826752,0.88396,0.9049,0.86411,0.0000125000
246,0.24108000099658966,0.88415,0.90504,0.86431,0.0000125000
247,0.24119000136852264,0.88434,0.90518,0.86449,0.0000125000
248,0.2400200068950653,0.88452,0.90532,0.86468,0.0000062500
249,0.2402999997138977,0.88471,0.90545,0.86487,0.0000062500
250,0.2397100031375885,0.88489,0.9056,0.86505,0.0000062500
251,0.23985999822616577,0.88507,0.90573,0.86524,0.0000062500
252,0.24039000272750854,0.88525,0.90585,0.86542,0.0000062500
253,0.24021999537944794,0.88542,0.90598,0.86559,0.0000062500
254,0.23895999789237976,0.8856,0.90613,0.86576,0.0000062500
255,0.2402700036764145,0.88577,0.90626,0.86594,0.0000062500
256,0.23941999673843384,0.88595,0.90639,0.86611,0.0000062500
257,0.2399500012397766,0.88612,0.90652,0.86629,0.0000062500
258,0.2392600029706955,0.88629,0.90666,0.86646,0.0000062500
259,0.23978999257087708,0.88646,0.90678,0.86664,0.0000062500
260,0.23968000710010529,0.88672,0.90691,0.86681,0.0000062500
261,0.24052999913692474,0.88699,0.90702,0.86699,0.0000062500
262,0.23955999314785004,0.88725,0.90714,0.86715,0.0000062500
263,0.23950999975204468,0.88751,0.90726,0.86732,0.0000062500
264,0.2388399988412857,0.88777,0.90739,0.86748,0.0000062500
265,0.23894000053405762,0.88803,0.90751,0.86764,0.0000062500
266,0.24070000648498535,0.88828,0.90761,0.86781,0.0000062500
267,0.23980000615119934,0.88854,0.90773,0.86798,0.0000062500
268,0.24005000293254852,0.88879,0.90784,0.86814,0.0000062500
269,0.23959000408649445,0.88904,0.90796,0.86829,0.0000062500
270,0.24010999500751495,0.88928,0.90808,0.86845,0.0000062500
271,0.24017000198364258,0.88953,0.90819,0.8686,0.0000062500
272,0.23962999880313873,0.88978,0.90831,0.86876,0.0000062500
273,0.24018000066280365,0.89003,0.90842,0.86892,0.0000062500
274,0.23989999294281006,0.89027,0.90854,0.86907,0.0000062500
275,0.24044999480247498,0.89051,0.90864,0.86922,0.0000031250
276,0.2395000010728836,0.89075,0.90876,0.86937,0.0000031250
