epoca,loss,accuracy,recall,precision,lr 
128,0.2355400025844574,0.84637,0.87565,0.82701,0.0002000000
129,0.23757000267505646,0.84683,0.87602,0.82748,0.0002000000
130,0.23228000104427338,0.84728,0.87639,0.82795,0.0002000000
131,0.2371399998664856,0.84774,0.87682,0.82839,0.0002000000
132,0.2281399965286255,0.84819,0.87722,0.82885,0.0002000000
133,0.22679999470710754,0.84865,0.87758,0.82934,0.0002000000
134,0.22562000155448914,0.84912,0.87793,0.82982,0.0002000000
135,0.22709999978542328,0.84957,0.87825,0.83031,0.0002000000
136,0.22599999606609344,0.85003,0.87858,0.83079,0.0002000000
137,0.22405000030994415,0.8505,0.87899,0.83124,0.0002000000
138,0.2322400063276291,0.85095,0.87934,0.83168,0.0002000000
139,0.22126999497413635,0.85141,0.87965,0.83214,0.0002000000
140,0.22390000522136688,0.85187,0.88002,0.83258,0.0002000000
141,0.219760000705719,0.85233,0.88041,0.83302,0.0002000000
142,0.2222999930381775,0.85279,0.88078,0.83344,0.0002000000
143,0.22006000578403473,0.85323,0.88118,0.83384,0.0002000000
144,0.22495000064373016,0.85366,0.88159,0.83421,0.0002000000
145,0.22479000687599182,0.85407,0.88198,0.83458,0.0002000000
146,0.2207999974489212,0.8545,0.88232,0.83497,0.0002000000
147,0.2189899981021881,0.85492,0.88267,0.83537,0.0002000000
148,0.22457000613212585,0.85534,0.88305,0.83574,0.0002000000
149,0.22735999524593353,0.85572,0.88343,0.83605,0.0002000000
150,0.21726000308990479,0.85611,0.88378,0.8364,0.0002000000
151,0.21541999280452728,0.85652,0.88411,0.83681,0.0002000000
152,0.2274799942970276,0.85691,0.88441,0.83718,0.0002000000
153,0.21477000415325165,0.85729,0.88467,0.83757,0.0002000000
154,0.21533000469207764,0.8577,0.88496,0.83798,0.0001000000
155,0.21472999453544617,0.85809,0.8853,0.83833,0.0001000000
156,0.21017999947071075,0.85849,0.88562,0.83871,0.0001000000
157,0.2073100060224533,0.8589,0.88591,0.83914,0.0001000000
158,0.20552000403404236,0.85931,0.8862,0.83957,0.0001000000
159,0.20949000120162964,0.85972,0.88648,0.84,0.0001000000
160,0.213809996843338,0.8601,0.88679,0.84037,0.0001000000
161,0.2072799950838089,0.86049,0.88716,0.84071,0.0001000000
162,0.20693999528884888,0.86088,0.8875,0.84107,0.0001000000
163,0.20744000375270844,0.86126,0.88776,0.84148,0.0001000000
164,0.20558999478816986,0.86165,0.88796,0.84191,0.0001000000
165,0.2043199986219406,0.86203,0.88821,0.84231,0.0001000000
166,0.20841999351978302,0.86241,0.8885,0.84266,0.0001000000
